product_id,product_name,aisle_id,department_id
1202,Organic Whole Grain Oatmeal Cereal Baby Food,92,18
1208,Organic Roasted Dandelion Root Herbal Tea,94,7
1216,Dairy Free Gluten Free Mushroom & Roasted Garlic Pizza,42,1
1217,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",54,17
1241,Strawberry Cheesecake Ice Cream,37,1
1244,Organic Orange Bell Pepper,83,4
1261,Old Fashioned Buttermilk Ranch Salad Dressing,89,13
1263,American Cheese Slices 12 Count,21,16
1319,100% Recycled White Unscented Bathroom Tissue,54,17
1323,Vanilla Bean Natural Lowfat Yogurt,120,16
1330,Extra Soft Double Roll Bathroom Tissue,54,17
1359,Organic Turmeric,104,13
1360,Crunchy Peanut Butter,88,13
1376,Buttermilk Biscuits,105,13
1398,Ice Bag,37,1
1406,Vegan Nutritional Shake Sweet Vanilla Bean,65,11
1463,Organic Milk,84,16
1511,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,84,16
1516,Organic Acai Berry Smoothie Packs,116,1
1529,"Parsley, Italian (Flat), New England Grown",16,4
1559,Cherry Pomegranate Greek Yogurt,120,16
1592,Daily Moisture Conditioner,22,11
1614,Nibblers Corn on the Cob,116,1
1654,Black Truffle,45,19
1667,Refresh and Revive Dry Shampoo,22,11
1689,15 Grain Whole Grain Bread,112,3
1747,Teriyaki Beef Jerky,23,19
1752,Mango Sorbet,37,1
1757,Organic Cashew Carrot Ginger Soup,69,15
1774,Butter Pecan Ice Cream,37,1
1819,All Natural No Stir Creamy Almond Butter,88,13
1832,Moisture Milks Strawberries & Cream Moisturizing Conditioner,22,11
1866,Organics Hawaiian Coconut Milk Facial Wash,109,11
1870,Chipotle Black Bean Burger,34,1
1940,Organic 2% Reduced Fat Milk,84,16
1958,Green Pepper Sauce,72,13
1987,Blackberry Lemonade,31,7
1994,Organic Gluten Free Quinoa Spaghetti,131,9
1998,Unsweet Peach Sparkling Water,115,7
1999,Organic Chicken Broth,69,15
2002,"The \""World's Best\"" Veggie Burger",42,1
2063,Fresh Ciliegine Mozzarella Cheese,21,16
2067,Plus Cranberry Almond + Antioxidants with Macadamia Nuts Bar,3,19
2078,Unsalted Pure Irish Butter,36,16
2086,Sustainably Soft Bath Tissue,54,17
2091,Almond Nut & Rice Cracker Snacks,78,19
2099,Natural Cane Turbinado Sugar,17,13
2132,Rosemary Olive Oil Bread,112,3
2138,Whole Bay Leaves,6,2
2151,Classic Vanilla Ice Cream Sandwiches,37,1
2180,Angel Hair Pasta,131,9
2189,Banana Low-Fat Greek Yogurt,120,16
2192,Bold & Crispy Zesties! Crispy Seasoned French Fried Potatoes,129,1
2197,Sparkling Pink Lemonade,77,7
2205,3D White Arctic Fresh Toothpaste,17,13
2228,Organic Frozen Mango Chunks,116,1
2229,Uncrustables Peanut Butter & Strawberry Spread Sandwich,38,1
2238,Vitamin C Super Orange Dietary Supplement,47,11
2243,Mango Peach Goat Milk Yogurt Baby Food,120,16
2295,Yellow Bell Pepper,83,4
2309,Organic Ground Flaxseed,47,11
2314,Whole Milk Ricotta Cheese,108,16
2350,60% Cacao Bittersweet Premium Baking Chips,17,13
2361,Mint Chip,37,1
2389,Breakfast Hot & Spicy Sausage Patties,42,1
2408,Feta Crumbled Traditional Cheese,21,16
2422,Classic Meal For 2 Shrimp Scampi & Linguine,38,1
2426,Roasted Green Chile & Jack Cheese Tamales,13,20
2434,Caramel Flavored Sundae Syrup,103,19
2435,Teriyaki Meal Bowls,38,1
2447,3 lb Clementines,123,4
2450,Taco Seasoning,30,6
2452,Naturals Chicken Nuggets,129,1
2480,Organic 85% Cacao Dark Chocolate Bar,45,19
2481,Natural Deli Style Sliced Swiss Cheese,21,16
2512,99% Fat Free Chicken Broth,69,15
2514,Extreme Clean Whitening Action Mint Blast Fluoride Toothpaste,20,11
2516,24 Hour Non-Drowsy Allergy Relief,11,11
2556,Yellow Mustard,72,13
2573,Garlic Pepper Ramen,66,6
2627,Ibuprofen 200 mg Pain Reliever/Fever Reducer Tablets,133,11
2643,Organic Bagged Kale Salad Mix,123,4
2646,Dairy Pure Heavy Whipping Cream,53,16
2651,Mayonnaise,72,13
2707,Complete™ ActionPacs™ Fresh Scent Dishwasher Detergent,74,17
2708,Fruit By the Foot Variety Pack,50,19
2732,Gluten Free Pretzel Sticks,107,19
2813,Whole Grain Angel Hair Pasta,131,9
2825,Organic Original Hommus,67,20
2826,Blue Corn Chip Bowls,107,19
2838,Poppy Seed Dressing,89,13
2839,Original Slices Pepperoni,96,20
2846,Organic Green Onions,83,4
2848,Strawberry Orange Banana Drink Mix,90,7
2855,Organic Good Seed Bread,112,3
2870,"Clean Energy Drink, Lemon Lemongrass",94,7
2888,Almond Cocoa Spread,88,13
2927,Tartar Sauce Squeeze Bottle,72,13
2966,Pure Coconut Water,98,7
2974,Regular,77,7
3023,Club & Cheddar Sandwich Crackers,78,19
3098,Lavender Dish Soap,74,17
3101,Stir-Fry Vegetables,116,1
3108,Original Lowfat Lemon Burst Yogurt,120,16
3110,Smart Creations Crustless Chicken Pot Pie,38,1
3128,Riced Cauliflower & Broccoli,100,21
3151,Super Tea Power Greens,94,7
3161,Flake Style Imitation Crab,15,12
3162,Organic Acacia Fiber,70,11
3219,Himalania Fine Pink Salt Glass Jar,104,13
3243,Red Onions,83,4
3298,Mozzarella String Cheese,21,16
3334,Fruit Juicy Red Juice Drink,98,7
3364,Extra Strength Pain Cream,133,11
3376,Organic Whole Kernel Sweet Corn No Salt Added,81,15
3382,Organic Eggplant,83,4
3384,All Natural Crispy with Panko Breading & Sea Salt Onion Rings,129,1
3390,Papaya,24,4
3397,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips,107,19
3452,Southern Butter Pecan Gourmet Coffee Creamer,53,16
3464,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",83,4
3469,Organic Vegetarian Mild Refried Beans With Green Chiles,59,15
3473,Clementine Dish Soap,74,17
3481,Pineapple,24,4
3485,Berry Shot Dietary Supplement,64,7
3494,Matcha Powder,94,7
3518,Dusters Cleaner Refills Unscented,114,17
3519,100% Orange Juice No Pulp,31,7
3545,Sun Dried Tomato Pesto,9,9
3578,Gentle Exfoliating Beauty Bar,127,11
3583,Unsweetened Coconut Milk Beverage,84,16
3599,Baked Aged White Cheddar Rice and Corn Puffs,23,19
3634,Krinkle Cut Classic Barbecue Potato Chips,107,19
3648,Organic & Raw Grape Kombucha,27,5
3661,S'mores Luna Bar,3,19
3672,Gourmet Mango Mochi Sherbet Bonbons,37,1
3696,Original Baked Snack Crackers,78,19
3703,"Plates, 10-1/16 Inch",111,17
3747,PM Extra Strength Caplets,133,11
3765,Original Whole Fat Lactose Free Milk,91,16
3793,Honey Grahams Graham Style Crackers,29,13
3798,Pink Lady Apples,24,4
3808,Olive Oil Cooking Spray,19,13
3822,Green Magic Chia Squeeze,117,19
3856,Deli Fresh Smoked Turkey Breast,96,20
3869,Organic Sweet Relish,72,13
3873,Mountain Spring Water,115,7
3919,Hearty Grains 100% Whole Wheat English Muffins,93,3
3951,Carrot and Broccoli Baby Food Puree,92,18
3952,Organic Broccoli Crowns,83,4
3957,100% Raw Coconut Water,31,7
3989,Parmesan and Roasted Garlic Dressing,89,13
3990,Natural Sharp Cheddar Sliced Cheese,21,16
3996,Diced Pears In Light Syrup Fruit Cups,99,15
4006,Hazelnut Spread With Skim Milk & Cocoa,88,13
4071,Organic Lemongrass Ginger Ramen,66,6
4086,Mint,16,4
4091,Kosher Whole Dill Pickles,110,13
4125,Grapefruit Sparkling Juice Beverage,31,7
4138,Arancita Rossa,77,7
4149,Frozen Organic Blueberries,24,4
4189,"Yogurt, Goat Milk, and Fruit, Banana & Natural Vanilla Bean with Pear, 2+",120,16
4193,"Ravioli, Spinach & Cheese",12,9
4210,Whole Milk,84,16
4217,Dutch Cocoa Flavor Crunchy Nuggets,45,19
4235,Ready to Bake Sugar Cookie Dough,105,13
4269,Mild Cheddar Cheese,21,16
4302,Artichoke Hearts,116,1
4317,Solid White Albacore Tuna In Water,95,15
4367,Garlic & Fine Herbs Gournay Cheese,21,16
4374,Ultra Soft Bathroom Tissue Double Rolls,54,17
4392,Lavender Fabric Softening Dryer Sheets,75,17
4406,Delhi Saag,76,6
4421,Organic Beef Uncured Hot Dogs,106,12
4455,Raspberry Cereal,48,14
4461,Organic Raw Unfiltered Apple Cider Vinegar,19,13
4462,Pink Lady Apple Kombucha,94,7
4472,Toasted Coconut Almondmilk Blend,91,16
4487,Vegetarian Organic Golden Corn,81,15
4489,Browning & Seasoning Sauce,104,13
4497,Pasta Sides Chicken Flavor,4,9
4516,Vegetable Classics Minestrone Soup,69,15
4541,Rainier Cherries,24,4
4559,Vanilla Frosting,97,13
4562,English Seedless Cucumber,83,4
4591,Quick 1 Minute Oatmeal,130,14
4595,Italian Dry Salame,96,20
4601,Sparkling Peach Juice,31,7
4605,Yellow Onions,83,4
4606,Sweet Chipotle Beef Jerky,23,19
4614,Burrata alla Panna,21,16
4656,Raspberry Preserves,88,13
4658,Imported Mineral Water,115,7
4679,Carob Chips,17,13
4759,Yellow Corn Meal,17,13
4781,Original Coconut Milk Creamer,91,16
4793,Wild Berry Smoothie,120,16
4796,Baby Portabella Mushrooms,83,4
4799,Shredded Parmesan,21,16
4817,Cinnamon Apple Sauce,99,15
4818,Classic Vanilla Coffee Creamer,6,2
4853,Broccoli Rabe,83,4
4855,Diced Butternut Squash,123,4
4893,Quick Enriched Hominy Grits,130,14
4920,Seedless Red Grapes,123,4
4924,Homestyle Baked Beans,59,15
4942,Vanilla Almond Breeze,91,16
4945,Large Pineapple Chunks,123,4
4952,Unsweet Peach Water,115,7
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120,16
4962,Yotoddler Organic Pear Spinach Mango Yogurt,120,16
4983,Sweets Medley Sea Salt Sweet Potato Chips,107,19
5002,Organic Iced Oatmeal Cookie ZBar,3,19
5020,Organic  Sweet & Salty Peanut Pretzel Granola Bars,3,19
5024,Dark Red Kidney Beans No Salt Added,59,15
5025,Green Onions,83,4
5031,Medium Salsa Roja,67,20
5073,Kombucha  Bilberry No. 9,31,7
5077,100% Whole Wheat Bread,112,3
5097,Mexican Style Taco Shredded Cheese,21,16
5120,Organic Vanilla Soymilk,91,16
5128,Paper Towel,54,17
5134,Organic Thompson Seedless Raisins,117,19
5161,Dried Mango,18,10
5183,Sesame Chicken,38,1
5194,Organic Bunny Fruit Snacks Berry Patch,50,19
5209,Moisturizing Shampoo Strawberries & Cream,22,11
5210,Original Baked Beans,59,15
5212,Watermelon Chunks,123,4
5223,Fruit & Cream Variety Pack,130,14
5240,Spaghetti  No 12,131,9
5258,Sparkling Water,115,7
5312,Coconut Cookie Thins,61,19
5315,Fettuccine Pasta,131,9
5322,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,19
5337,Monterey Jack Cheese,21,16
5373,Organic No Salt Added Diced Tomatoes,81,15
5383,Organic Capellini,131,9
5404,Dark Red Kidney Beans Reduced Sodium,59,15
5428,1 Liter,115,7
5450,Small Hass Avocado,24,4
5463,Original Oat Bar,3,19
5473,Ultimate Flora Vaginal Support Probiotic Supplement Vegetable Capsules,126,11
5479,Italian Sparkling Mineral Water,115,7
5487,Unsweetened Strawberry Kiwi Water,115,7
5488,With Pineapple Pulp Free Orange Juice,31,7
5496,Cold Brew Coffee Can,26,7
5499,Organic Cream Of Chicken Condensed Soup,69,15
5539,Organic SprouTofu Silken Tofu,14,20
5595,Almond Joy Creamer,53,16
5605,Sesame Seed,104,13
5612,Reduced Fat Milk,84,16
5618,Cauliflower,83,4
5621,Sea Salt Fine Crystals,104,13
5646,Organic Turkey Bacon,106,12
5652,Organic Red Potatoes,83,4
5684,Gluten Free Multi Seed Rice Thin Crackers,78,19
5692,Cinnamon & Spice Instant Oatmeal,130,14
5699,Gluten Free Mushroom Risotto Bowl,38,1
5708,Original Turkey Jerky,23,19
5727,Sandwich Potato Bread,43,3
5746,Heavy Cream,53,16
5748,Free and Gentle High Efficiency Liquid Laundry Detergent,75,17
5769,Organic Chicken Stock,69,15
5770,97% Fat Free Beef Franks,106,12
5782,Grade A Large White Eggs,86,16
5785,Organic Reduced Fat 2% Milk,84,16
5818,White Onion,83,4
5825,Organic Celery,83,4
5860,Sweet Chili Pistachios,117,19
5869,Unsweetened Carob Chips,17,13
5876,Organic Lemon,24,4
5907,Apple Cinnamon Fig Bar,48,14
5922,"Honest Face, Hand, & Baby Wipes",56,18
5933,Wild Caught Frozen Sockeye Salmon Fillet,39,12
5952,Cajun Style Chicken Alfredo,38,1
5955,Naturals Balsamic Vinaigrette,89,13
5973,Spicy Avocado Hummus,67,20
5989,Sliced Tamed Jalapeno Peppers,110,13
5991,Bok Choy,83,4
5994,Traditional Refried Beans,59,15
5999,"Semi-Soft Cheese, Ripened",21,16
6069,Maple Pumpkin Seeds with Sea Salt Chewy with a Crunch Granola Bars,3,19
6074,Mixed Fruit,116,1
6101,Farfalle No. 93,131,9
6111,Mediterranee Strawberry Yogurt,120,16
6128,Original Fresh Stack Crackers,78,19
6129,Golden Flaxseed,17,13
6141,Low Sodium Beef Broth,69,15
6182,Natural Artesian Bottled Water,115,7
6184,Clementines,32,4
6187,Raisin Bran Cereal,121,14
6212,"White meat chicken, shredded cabbage, julienne yellow carrots and spicy red coconut flavored curry Thai-Style Chicken Spring Rolls",38,1
6218,Organic Avocados,83,4
6258,Fit Triple Berry Crunch Whole Grain Granola,57,14
6287,Organic & Raw Strawberry Serenity Kombucha,31,7
6292,Organic Fire Roasted Corn,116,1
6334,Roasted Turkey and Vegetables,38,1
6341,Brown Eggs,86,16
6348,Mini Original Babybel Cheese,21,16
6350,Fettuccini with Chicken Broccoli,38,1
6352,Triple Zero Peach Oikos Greek Yogurt,120,16
6361,Soft Potato Bread,112,3
6384,Almond Chia Granola Clusters,57,14
6385,3 Ply White Tissues Go Packs,54,17
6387,Classics Meat Lovers Lasagna,38,1
6473,Bag of Lemons,24,4
6489,Backyard Barbeque Potato Chips,107,19
6508,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,120,16
6518,California Blend Vegetables,116,1
6543,"Garam Masala, Organic",104,13
6567,Chocolate Peanut Butter Protein Bar,3,19
6576,White Cheddar Baked Snack Crackers,78,19
6607,Organic Blueberry Fruit Spread,88,13
6617,Organic 2nd Foods Veggies Sweet Potato Squash & Pumpkin Baby Food,92,18
6631,No Pulp Calcium & Vitamin D Pure Orange Juice,31,7
6638,Organic Brown Rice Crisps Cereal,121,14
6649,Organic Oil Canola,19,13
6719,Mini Babybel White Cheddar Cheese,21,16
6736,Moisturizing Cucumber Melon Shower Gel,25,11
6750,Cheese Ravioli with Sauce Bowls,38,1
6753,Rippled Red Heirloom Potato Chips,100,21
6799,Revive Zero Vitamin Water,64,7
6808,Organic Spinach & Cheese Tortellini,12,9
6825,Breakfast Veggie Bacon Strips,42,1
6860,Organic Balsamic Vinaigrette,89,13
6873,Organic Iceberg Lettuce,83,4
6934,Chubby Hubby Ice Cream,37,1
6948,Organic Original Almond Milk,91,16
6975,World Cuisine Certified Halal Chicken Tikka Masala With Basmati Rice,38,1
6991,Crunchy Oats 'n Honey Granola,48,14
7009,Bluebell Hand Soap,25,11
7014,Dishwasher Gel Free & Clear,74,17
7021,Organic Tomato Paste,81,15
7026,"Sparkling Mineral Water, Natural Lemon Flavor",115,7
7029,Cold Brew Coffee With Milk Chocolate,26,7
7039,HE Turbo Clean Plus Bleach Alternative Liquid Laundry Detergent,75,17
7054,Low Fat Plain Yogurt,120,16
7058,Vidalia Onions,83,4
7076,Grain Free Chicken Formula Cat Food,41,8
7088,Organic Cheddar Bunnies,78,19
7099,Sleepytime Vanilla Caffeine Free Herbal Tea Bags,94,7
7120,Organic Whole Wheat Sourdough Bread,112,3
7160,Clear Cups,111,17
7228,Organic Italian Dressing,89,13
7239,Cotto Salami,96,20
7249,Crunchy Rice Rollers,78,19
7303,Unsweet Blackberry Sparkling Water,115,7
7331,Protein Energy Bar Original French Vanilla Creme,3,19
7350,Natural Lime Flavor Sparkling Mineral Water,115,7
7355,Rice Cake Sweet Vanilla,45,19
7358,Verde Salsa,30,6
7367,Teriyaki Noodles,66,6
7371,Chocolate Chip Cookie Dough Bar,3,19
7401,Raw Chocolate Cacao Nibs,117,19
7413,Chocolate Peppermint Stick Bar,3,19
7460,Everyday Coated Paper Plates,111,17
7461,Pinto Beans No Salt Added,59,15
7485,Garlic Hummus,67,20
7500,Organic Vanilla Extract,17,13
7503,Whole Almonds,117,19
7521,New Orleans Iced Coffee,26,7
7533,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,120,16
7557,Natural Monterey Jack Cheese,21,16
7559,Cinnamon Rolls with Icing,105,13
7620,Reese Whole Water Chestnuts,66,6
7622,Organic Chicken & Wild Rice Soup,69,15
7628,"Dressing, Jersey Sweet Onion, Calorie Free",83,4
7632,Old Style Whole Grain Dijon Mustard,72,13
7641,Gluten Free Extra Crispy Fast Food French Fried Potatoes,129,1
7644,Scoops! Tortilla Chips,107,19
7646,Artisan Sesame Seeds Nut & Rice Cracker Snacks,78,19
7673,Organic SprouTofu Super Firm Tofu,14,20
7700,Lavender Aloe Liquid Soap,25,11
7736,Premium Original Saltine Crackers,78,19
7746,Oregano,104,13
7751,Tomato Ketchup,72,13
7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
7788,"Deli Fresh Smoked Ham, 97% Fat Free, Gluten Free",96,20
7863,Organic Diced Tomatoes with Italian Herbs,81,15
7877,Chicken Thighs,49,12
7883,Jumbo Cotton Balls,132,11
7898,Ginger Beer,77,7
7929,Cho-Coco Organic Nutrition Bar,3,19
7930,Apples & Cinnamon Instant Oatmeal,130,14
7948,Organic Unsalted Butter,36,16
7952,Chicken & Apple Breakfast Sausage,106,12
7955,Karamel Sutra Core Ice Cream,37,1
7963,Gluten Free Whole Grain Bread,58,1
7969,Lime,24,4
7987,Hazelnut Spread with Cocoa,88,13
7992,Natural Choice Honey Deli Ham,96,20
8012,Pizza 4 Cheese,79,1
8013,Cup Noodles Chicken Flavor,4,9
8021,100% Recycled Paper Towels,54,17
8022,Spinach Pizza,79,1
8025,Uncured Beef Hot Dogs,106,12
8048,Packaged Grape Tomatoes,32,4
8057,Organic Chicken & Mozzarella Ravioli,12,9
8076,Euro Classic Brioche Hot Dog Buns,43,3
8087,Florida Orange Juice With Calcium & Vitamin D,31,7
8112,Almond Mozzarella Style Cheese Alternative,21,16
8138,Traditional Hummus,67,20
8174,Organic Navel Orange,24,4
8193,Russet Potato,83,4
8197,PlusShot Blueberry Acai Probiotic Juice Drink,31,7
8203,Ground Ginger,104,13
8204,Traditional Favorites Tomato & Basil Pasta Sauce,9,9
8214,Easy Mac Original Flavor Macaroni & Cheese Dinner,4,9
8224,Chicken Bouillon Cubes,69,15
8225,Pull-Ups Training Pants Learning Designs 3T-4T 32-40 Lbs,56,18
8230,100% Recycled Bathroom Tissue,54,17
8239,Peanut Butter Creamy With Salt,88,13
8277,Apple Honeycrisp Organic,24,4
8296,OG Sesame Tamari Rice Cake Organic Rice Cakes,78,19
8309,Nonfat Icelandic Style Strawberry Yogurt,120,16
8385,Sliced Genoa Salami,96,20
8400,Tuna Creations Chunk Light Tuna Lemon Pepper Single Serve,95,15
8424,Broccoli Crown,83,4
8451,Cheese Tortellini,38,1
8467,Cinnamon Raisin Bread,112,3
8479,Original Black Box Tablewater Cracker,78,19
8501,Breakfast Blend Medium Keurig Brewed K-Cups Ground Coffee,26,7
8503,Clearing Eucalyptus Mineral Bath,25,11
8512,Whole Young Chicken,49,12
8518,Organic Red Onion,83,4
8523,Scoops,107,19
8524,Everyday Napkins,111,17
8529,Organic Jalapeno Crackers,78,19
8536,Green Leaf Shreds,123,4
8555,Sweet Potato Tortilla Chips,107,19
8574,Squash & Sweet Peas Stage 2,92,18
8580,VitaminWater Zero™ XXX Acai Blueberry Pomegranate,64,7
8590,Ground Turkey,49,12
8615,Sparkling Pomegranate,77,7
8638,Vanilla Milk Chocolate Almond Ice Cream Bars,37,1
8668,Homemade Vanilla Ice Cream,37,1
8670,Diced Tomatoes,81,15
8671,Semi-Sweet Chocolate Premium Baking Chips,17,13
8697,Woman's Raspberry Leaf Tea Bags,94,7
8730,Comfort Roasted Turkey Breast Dinner,38,1
8736,Synergy Organic & Raw Cosmic Cranberry,31,7
8744,Mixed Vegetables,116,1
8758,Orignial Recipe Chocolate Pudding,71,16
8774,Whole Grain Pita Bread,128,3
8777,Organic Chili Ginger Lime Cleaning Probiotic Tonic,31,7
8802,Organic Goji Berries,24,4
8806,Original Roast Coffee,26,7
8834,Raspberry Lime Sparkling Seltzer Water,115,7
8854,"Seasoning, Italian",104,13
8866,Organic White Chocolate Peanut Butter Cups,45,19
8903,Semi-Sweet Mini Chocolate Chips,17,13
8912,"Pears, Kale & Spinach Organic Baby Food",92,18
8920,Reduced Fat Sliced Swiss Cheese,21,16
8928,Buttery Homestyle Mashed Potatoes,4,9
8952,Multigrain Pancake & Waffle Mix,130,14
8953,Key Limes,32,4
8986,Vanilla Coconut Milk Yogurt,120,16
8988,Organic Garlic Powder,104,13
9000,Organic Yellow Zucchini,83,4
9006,Naturе's Calorie-Free Sweetener,17,13
9036,Unsweetened Vanilla Cashew Milk,91,16
9071,Navel Oranges Bag,24,4
9076,Blueberries,116,1
9092,Organic Vegetable Broth,69,15
9121,Diapers Cruisers Size 4 Super Pack,56,18
9124,Broccoli & Cheddar Bake Meal Bowl,38,1
9154,Organic Classic Saltine Crackers,78,19
9171,Organic Balsamic Vinaigrette Dressing,89,13
9176,Sesame Stir Fry with Chicken,38,1
9185,Anti Slip Grip Cardboard Applicator Lites/Regular/Super Multi Pack Tampons,126,11
9203,Dairy Free Coconut Milk Raspberry Yogurt Alternative,120,16
9210,Fresh Whole Chicken,49,12
9217,Cold Brew Coffee With Coconut Milk,26,7
9224,Gluten-Free Supergrain Pasta Elbows,131,9
9225,Selects Turkey Hot Dogs,106,12
9239,Buttermilk Biscuits Value Pack,105,13
9252,Signature Recipes Four Cheese Alfredo Pasta Sauce,9,9
9290,Country Cheddar Bowl,38,1
9292,Half And Half Ultra Pasteurized,84,16
9314,Marketplace Ricotta Cheese and Spinach Ravioli,38,1
9339,Organic Chicken & Apple Sausage,106,12
9340,Homestyle Classics Meatloaf,38,1
9360,Pepperoni Pizza Frozen Sandwiches,129,1
9366,Penne Rigate #41 Pasta,131,9
9387,Granny Smith Apples,24,4
9405,Calcium Enriched 100% Lactose Free Fat Free Milk,91,16
9421,Organic Raw Multigreen Kobmbucha,31,7
9422,Hummus,67,20
9477,Medium Cheddar Cheese,21,16
9493,Seasoned Croutons,89,13
9513,Light Champagne Dressing,89,13
9521,Organic Whole O's Gluten Free Cereal,121,14
9550,Ancient Grain Original Granola,57,14
9584,Low Sodium Original 100% Vegetable Juice,98,7
9598,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,99,15
9604,Hibiscus Organic Raw Kombucha,31,7
9634,Light Butter Microwave Popcorn,23,19
9637,Black Forest Berry Caffeine-Free Tea,94,7
9641,"Action Pacs, Fresh Scent with Dawn",74,17
9647,Beef Flavor Top Ramen,66,6
9662,MRS MEYERS   12.5OZ HANDSOAP RHUBAR,25,11
9666,Country Morning White Bread,112,3
9681,Chicken Tikka Masala with Cumin Infused Basmati Rice Frozen Meal,38,1
9694,Hickory Ham & Cheddar in a Croissant Crust,38,1
9774,Cheesy Italian Shells Hamburger Helper,4,9
9786,Organic Whole Wheat Pita,112,3
9804,Four Cheese Pizza,79,1
9839,Organic Broccoli,83,4
9871,Beef Loin New York Strip Steak,122,12
9875,Creamed Chipped Beef,38,1
9901,Original Strawberry Banana Yogurt,120,16
9934,Organic Australian Style Vanilla Lowfat Yogurt,120,16
10017,Tilapia Filet,39,12
10048,Fresh Sheep Milk Basket Ricotta,21,16
10082,Multigrain Cereal,121,14
10096,Corn Meal Pizza Crust,58,1
10108,Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,24,4
10132,Organic American Cheese Singles,21,16
10151,Bolthouse Baby Carrots,123,4
10177,German Barrel Sauerkraut,110,13
10197,Chicken Meatballs Spicy Mango & Jalapeno,7,12
10241,Powdered Confectioners Sugar,17,13
10243,Parchment Paper,85,17
10246,Organic Celery Hearts,83,4
10258,Pistachios,117,19
10300,Glazed Chicken,38,1
10305,Black Plum,24,4
10312,Zen Tea,94,7
10321,Grands! Flaky Layers Buttermilk Biscuits,105,13
10322,Organic Pineapple Coconut Water,98,7
10326,Organic Fuji Apples,24,4
10336,Organic Turbinado Sugar,17,13
10339,Unsweetened Blackberry Water,115,7
10341,Organic Honey Green Tea Drink,94,7
10343,Teriyaki Chicken Bowl,38,1
10350,Cosmic Brownies With Chocolate Chip Candy,61,19
10383,Chicken Flavored Rawhide Chip Dog Bones,40,8
10441,Dry Roasted Almonds,117,19
10445,Decaffeinated French Roast Coffee,23,19
10492,Coconut Milk,66,6
